ID,name,dob,erpSystem_erpSystem,status_code
21068100-a139-4c95-b5b0-54e091cdc3ca,name-21068100,2003-12-10,erpSystem-25650511,X
21068101-92c0-4853-8484-ce978ee07d69,name-21068101,2016-05-07,landingMapping-21325925,X
21068102-f37d-47fe-986e-d88abd9b46ef,name-21068102,2007-11-29,landingMapping-21325931,X
21068103-1dc1-44a3-8153-97bfd2b5d344,name-21068103,2010-05-23,landingMapping-21325930,X
21068104-24f5-414b-910a-635b678a1dfd,name-21068104,2018-10-10,landingMapping-21325927,H
21068105-6164-46d9-a4fb-9082b2aa41f1,name-21068105,2012-10-07,landingMapping-21325932,H
21068106-91c4-4f93-b273-d40c68b43188,name-21068106,2006-10-20,landingMapping-21325928,H
21068107-9434-4d6c-97f4-f24dca00b3f4,name-21068107,2022-03-19,landingMapping-21325924,H
21068108-012c-4f38-97cd-3e3b3f6063b9,name-21068108,2014-11-29,landingMapping-21325927,X
21068109-1547-4334-90bb-726ec8c4a457,name-21068109,2011-08-05,landingMapping-21325928,X
